# BEGIN PLOT
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_deta_12
Title=Pseudorapidity separation between jets
LegendYPos=0.5
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_deta_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_deta_12
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_deta_12
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	9.360660e+06	1.394405e+06	1.394405e+06
-4.600000e+00	-4.200000e+00	1.091796e+07	1.150697e+06	1.150697e+06
-4.200000e+00	-3.800000e+00	1.677305e+07	1.839669e+06	1.839669e+06
-3.800000e+00	-3.400000e+00	1.874662e+07	1.500557e+06	1.500557e+06
-3.400000e+00	-3.000000e+00	2.348517e+07	1.667485e+06	1.667485e+06
-3.000000e+00	-2.600000e+00	2.809078e+07	1.991105e+06	1.991105e+06
-2.600000e+00	-2.200000e+00	3.104878e+07	1.723443e+06	1.723443e+06
-2.200000e+00	-1.800000e+00	3.911032e+07	2.134408e+06	2.134408e+06
-1.800000e+00	-1.400000e+00	4.452990e+07	2.289921e+06	2.289921e+06
-1.400000e+00	-1.000000e+00	4.545405e+07	2.162035e+06	2.162035e+06
-1.000000e+00	-6.000000e-01	4.475495e+07	2.418652e+06	2.418652e+06
-6.000000e-01	-2.000000e-01	4.618028e+07	2.362795e+06	2.362795e+06
-2.000000e-01	2.000000e-01	4.419542e+07	2.255505e+06	2.255505e+06
2.000000e-01	6.000000e-01	4.506650e+07	2.296233e+06	2.296233e+06
6.000000e-01	1.000000e+00	4.566348e+07	2.363794e+06	2.363794e+06
1.000000e+00	1.400000e+00	4.770543e+07	2.690395e+06	2.690395e+06
1.400000e+00	1.800000e+00	4.771687e+07	2.529350e+06	2.529350e+06
1.800000e+00	2.200000e+00	4.189957e+07	2.348269e+06	2.348269e+06
2.200000e+00	2.600000e+00	3.191868e+07	1.833763e+06	1.833763e+06
2.600000e+00	3.000000e+00	3.105678e+07	2.166534e+06	2.166534e+06
3.000000e+00	3.400000e+00	2.513103e+07	1.736848e+06	1.736848e+06
3.400000e+00	3.800000e+00	1.496712e+07	1.333126e+06	1.333126e+06
3.800000e+00	4.200000e+00	1.568031e+07	1.568084e+06	1.568084e+06
4.200000e+00	4.600000e+00	1.155782e+07	1.317495e+06	1.317495e+06
4.600000e+00	5.000000e+00	1.087342e+07	1.591860e+06	1.591860e+06
# END HISTO1D

