# BEGIN PLOT
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dphi_12
Title=Azimuthal separation between jets
Legend=1
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dphi_12
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dphi_12
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_dphi_12
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.497795e+07	3.398222e+06	3.398222e+06
1.256637e-01	2.513274e-01	8.668748e+06	2.508790e+06	2.508790e+06
2.513274e-01	3.769911e-01	8.544385e+06	1.728969e+06	1.728969e+06
3.769911e-01	5.026548e-01	1.436656e+07	3.166958e+06	3.166958e+06
5.026548e-01	6.283185e-01	1.889788e+07	4.482179e+06	4.482179e+06
6.283185e-01	7.539822e-01	6.574235e+06	1.514567e+06	1.514567e+06
7.539822e-01	8.796459e-01	1.621619e+07	3.553898e+06	3.553898e+06
8.796459e-01	1.005310e+00	1.629670e+07	3.235390e+06	3.235390e+06
1.005310e+00	1.130973e+00	1.656129e+07	3.050913e+06	3.050913e+06
1.130973e+00	1.256637e+00	1.796904e+07	3.414063e+06	3.414063e+06
1.256637e+00	1.382301e+00	1.660701e+07	3.074265e+06	3.074265e+06
1.382301e+00	1.507964e+00	1.535025e+07	2.750829e+06	2.750829e+06
1.507964e+00	1.633628e+00	2.296357e+07	4.138339e+06	4.138339e+06
1.633628e+00	1.759292e+00	2.489150e+07	4.486968e+06	4.486968e+06
1.759292e+00	1.884956e+00	2.660039e+07	3.474727e+06	3.474727e+06
1.884956e+00	2.010619e+00	4.012404e+07	4.754842e+06	4.754842e+06
2.010619e+00	2.136283e+00	3.634536e+07	3.758406e+06	3.758406e+06
2.136283e+00	2.261947e+00	6.323930e+07	5.519489e+06	5.519489e+06
2.261947e+00	2.387610e+00	9.256782e+07	6.808996e+06	6.808996e+06
2.387610e+00	2.513274e+00	1.268857e+08	7.539415e+06	7.539415e+06
2.513274e+00	2.638938e+00	1.925209e+08	9.593057e+06	9.593057e+06
2.638938e+00	2.764602e+00	2.582989e+08	9.994543e+06	9.994543e+06
2.764602e+00	2.890265e+00	3.508235e+08	1.221976e+07	1.221976e+07
2.890265e+00	3.015929e+00	5.131762e+08	1.381909e+07	1.381909e+07
3.015929e+00	3.141593e+00	6.683676e+08	1.452241e+07	1.452241e+07
# END HISTO1D

