# BEGIN PLOT
LegendOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_mjj
XLabel=$m_{jj}$ [GeV]
LegendAlign=r
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
DrawOnly=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_mjj
Title=Dijet invariant mass spectrum
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_mjj
LineColor=red
LineStyle=solid
Path=//home/soumyadip/Workspace/Zigzag/25Dec2022_py8.yoda/MC_JETS/jets_mjj
ScaledBy=1.43580032793284487e+06
Title=25Dec2022_py8
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.625000e+02	1.584508e+06	2.261781e+04	2.261781e+04
1.625000e+02	3.250000e+02	2.865007e+05	9.520581e+03	9.520581e+03
3.250000e+02	4.875000e+02	6.343034e+04	3.790709e+03	3.790709e+03
4.875000e+02	6.500000e+02	2.674139e+04	2.749305e+03	2.749305e+03
6.500000e+02	8.125000e+02	1.758455e+04	3.245399e+03	3.245399e+03
8.125000e+02	9.750000e+02	1.062174e+04	2.351350e+03	2.351350e+03
9.750000e+02	1.137500e+03	3.919064e+03	9.896806e+02	9.896806e+02
1.137500e+03	1.300000e+03	4.019202e+03	1.494774e+03	1.494774e+03
1.300000e+03	1.462500e+03	1.098475e+03	7.032619e+02	7.032619e+02
1.462500e+03	1.625000e+03	6.884234e+02	2.246345e+02	2.246345e+02
1.625000e+03	1.787500e+03	7.480382e+02	2.791065e+02	2.791065e+02
1.787500e+03	1.950000e+03	5.875815e+02	2.960443e+02	2.960443e+02
1.950000e+03	2.112500e+03	1.237860e+02	9.535595e+01	9.535595e+01
2.112500e+03	2.275000e+03	3.629308e+01	1.120593e+01	1.120593e+01
2.275000e+03	2.437500e+03	1.150707e+02	7.742950e+01	7.742950e+01
2.437500e+03	2.600000e+03	8.910542e+01	5.156475e+01	5.156475e+01
2.600000e+03	2.762500e+03	4.718264e+01	2.655871e+01	2.655871e+01
2.762500e+03	2.925000e+03	2.526122e+02	1.545440e+02	1.545440e+02
2.925000e+03	3.087500e+03	1.106274e+01	8.960936e+00	8.960936e+00
3.087500e+03	3.250000e+03	3.197828e+00	2.704224e+00	2.704224e+00
3.250000e+03	3.412500e+03	2.535103e+00	1.208433e+00	1.208433e+00
3.412500e+03	3.575000e+03	6.804554e+00	6.577676e+00	6.577676e+00
3.575000e+03	3.737500e+03	7.458591e+00	7.235691e+00	7.235691e+00
3.737500e+03	3.900000e+03	1.588654e+01	1.423125e+01	1.423125e+01
3.900000e+03	4.062500e+03	1.623646e+01	1.621693e+01	1.621693e+01
4.062500e+03	4.225000e+03	7.412357e-03	4.030536e-03	4.030536e-03
4.225000e+03	4.387500e+03	3.809806e+01	3.799183e+01	3.799183e+01
4.387500e+03	4.550000e+03	2.144991e-02	1.352076e-02	1.352076e-02
4.550000e+03	4.712500e+03	4.348586e-04	1.741220e-04	1.741220e-04
4.712500e+03	4.875000e+03	5.465105e-03	4.196196e-03	4.196196e-03
4.875000e+03	5.037500e+03	2.445466e-02	1.463762e-02	1.463762e-02
5.037500e+03	5.200000e+03	3.485646e-05	2.207310e-05	2.207310e-05
5.200000e+03	5.362500e+03	6.645662e-03	6.522697e-03	6.522697e-03
5.362500e+03	5.525000e+03	4.232419e-03	4.184861e-03	4.184861e-03
5.525000e+03	5.687500e+03	5.127183e-04	3.504537e-04	3.504537e-04
5.687500e+03	5.850000e+03	2.151902e-05	1.908547e-05	1.908547e-05
5.850000e+03	6.012500e+03	4.399168e-03	4.360182e-03	4.360182e-03
6.012500e+03	6.175000e+03	1.042665e-04	1.042665e-04	1.042665e-04
6.175000e+03	6.337500e+03	2.921185e-06	2.921185e-06	2.921185e-06
6.337500e+03	6.500000e+03	1.821262e-05	1.698217e-05	1.698217e-05
# END HISTO1D

